B152	buffington, bivens, bivins, bevins, babineaux, bibbins, bevans, bevington, babington, bevens, boebinger, babonis, buvinghausen, boeving, bivings, buvens, bofinger, bivans, babinski
B160	beaver, baber, bieber, bober, bever, baver, beaupre, bavaro, bouvier, bobrow, bibber, beaber, bubier, biafore, bevier, bubar, boever, bebber, biber, bavier, bobier, babrow, biffer, biffar, boppre
B162	beavers, bevers, beverage, babiarz, bobrowski, babers, bubrig, beevers, boevers, beberwyk, boberg, babiracki, beauprez, bobrosky
B163	buford, beveridge, bouffard, bufford, beauford, beaufort, byford, bevard, bovard, befort, boufford, bafford, bubert, bavard
B164	beverly, beverlin, beverley, bieberle, beauparlant
B165	beaubrun
B200	beck, bush, bass, buck, beach, boggs, boyce, baca, biggs, baez, begay, busch, baugh, bess, box, bock, bach, back, boss, bussey, buss, bays, book, bias, bushey
B210	bishop, busby, bischoff, bagby, bixby, bugbee, buzbee, bisbee, bischof, bigby, busbee, buckbee, busbey, bigbee, bushby, bigsby, buzby, bizub, bishoff, bishopp, bagsby, biskup, bockskopf, bisby, bichoff
B212	bushovisky, bukovsky, bukovac, backfisch, bosefski, basbas, bozovich
B213	buckovitch
B214	boespflug, biesheuvel, beckfield, bushfield, boucouvalas
B215	bockoven, buxbaum, buchbinder, bisping, busbin, busboom, bookbinder, backbone, bispham, bichoupan
B216	bickford, boisvert, beckford, basford, bassford, bigford, bockover, becvar, bashford, bachhuber, buchberger
B220	backus, boggess, backes, baccus, busick, basquez, bakos, bacchus, bukowski, bachus, bozek, backhaus, buczek, bosak, bachicha, buczkowski, bugos, bogacz, baugus, bykowski, bogus, busack, bozak, bocook, bocock
B221	buchsbaum, bauchspies
B222	bigusiak
B223	basista, bogust
B224	bisceglia, bacigalupi, buscaglia, bichsel, bacigalupo
B225	beauchesne, bisignano, boghossian, bagaoisan, bisogno, boghosian, bakhshian, baggesen, bisagna
B226	besecker, bissegger, boesiger, busacker, buchser, bisikirski, biesecker
B230	best, bassett, baggett, beckett, beckwith, bost, bessette, bousquet, bookout, bissett, baskett, bhakta, bequette, bast, bissette, buchheit, bacote, bosket, bickett, basta, buchta, baskette, buist, basket, baggott
B232	bostic, bostick, bustos, bostwick, bostock, bastos, bustios, bagdasarian, baugatz, bezdicek, busitzky, bastic, bajdas, baghdasarian, biastock, bestwick, bastick
B233	beckstead, bastidas, bastida, bogatitus, boustead, bustad, bistodeau, bastidos, bastedo
B234	bechtel, bechtold, bustillos, bechtol, bustle, bustillo, bistline, bastille, bachtel, bachtell, beightol, busuttil, bazydlo, bachtold, buchtel, bostelmann, bostel, beghtol, bechthold, bastilla, bostelman
B235	boston, bustamante, buxton, bastian, boughton, baisden, becton, bogdan, bastien, bagdon, basden, bastin, beaston, baston, bostian, bogdon, bustamente, bastone, bustin, boxton, bastianelli, bosten, bogden, beckton, bogdanski
B236	baxter, buster, bostrom, bester, bastarache, backstrom, boyster, boster, beckstrom, boughter, beckstrand, baster, bystrom, bustard, bystron, bister, bastura, bastress, bookter, baxtor, bastardi
